username,index,orientation,gender,numMessages,numEvents,avgCompositionTime,avgCompositionDelay,avgTotalEvents,avgSendDelay,avgDeletions,avgDeletedChars,avgMessageLength,avgMessageWords,avgMessageChars,avgCharsPerMin,avgWordsPerMin,ratioSent,
A_01_4_02,A_01_4,S,M,75,4768,11.604733,10.512186,34.6133333333,2.650013,5.85333333333,-1.0,23.7866666667,5.49333333333,19.2933333333,106.118251705,30.6884700019,1.5,
B_01_4_02,B_01_4,S,F,81,4278,7.18558,13.454259,23.6543209877,2.419222,4.67901234568,-1.0,18.2592592593,4.30864197531,14.950617284,220.661961443,48.8723339652,4.0625,
A_01_2_02,A_01_2,S,M,68,5098,13.410132,13.382397,39.6911764706,2.855,6.38235294118,-1.0,26.8970588235,5.95588235294,21.9411764706,97.4910501586,26.210918662,1.72,
B_01_2_02,B_01_2,S,F,68,5058,10.426014,16.746132,34.6029411765,3.224411,6.69117647059,-1.0,28.3529411765,5.77941176471,23.5735294118,178.186409621,36.8216298127,5.8,
A_05_2_02,A_05_2,S,M,74,4186,8.551391,11.908675,23.7702702703,0.943932,3.82432432432,-1.0,21.8378378378,4.68918918919,18.1486486486,165.539534079,39.1476327779,2.89473684211,
B_05_2_01,B_05_2,S,F,75,4053,8.946746,11.67424,23.8266666667,3.04876,2.28,-1.0,18.1066666667,3.69333333333,15.4133333333,147.804464658,30.4290098121,3.6875,
A_05_0_02,A_05_0,S,M,75,4177,6.820546,15.744826,19.0,1.162013,2.44,-1.0,26.6533333333,5.68,21.9733333333,245.597776716,51.8396126895,9.71428571429,
B_05_0_01,B_05_0,S,F,78,4376,8.196871,13.745487,24.1794871795,1.699884,3.74358974359,-1.0,24.5641025641,5.25641025641,20.3076923077,221.046297008,48.0998805093,5.0,
A_02_1_01,A_02_1,S,M,84,5663,10.398833,17.161523,27.9523809524,1.876488,3.67857142857,-1.0,20.380952381,4.45238095238,16.9285714286,111.33203994,29.0586211171,2.65217391304,
B_02_1_02,B_02_1,S,F,88,8763,8.841068,17.038681,28.1022727273,2.364613,5.21590909091,-1.0,20.3295454545,4.21590909091,17.1136363636,139.670999937,34.6575830532,4.5,
